Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,,Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,시즌 순위,,Season,Team,Final_Elo,League_Mean,League_Std,Z_Score,Scaled_Score,시즌 순위
2018,두산,1569.13,1499.97,34.06,2.03,130.46,,2000,현대,1602.1,1506.19,48.57,1.97,129.62,1위(우승),,2018,두산,1569.13,1499.97,34.06,2.03,130.46,1위(준우승)
2000,삼청태현,1602.1,1506.19,48.57,1.97,129.62,,1991,해태,1584.36,1500,50.33,1.68,125.14,1위(우승),,2000,현대,1602.1,1506.19,48.57,1.97,129.62,1위(우승)
2001,삼성,1533.26,1502.47,15.69,1.96,129.42,,1985,삼성,1581.02,1500,46.64,1.74,126.06,1위(우승),,2001,삼성,1533.26,1502.47,15.69,1.96,129.42,2위(준우승)
2012,삼성,1568.07,1500.03,34.95,1.95,129.2,,2009,SK,1579.99,1500.54,50,1.59,123.84,2위(준우승),,2012,삼성,1568.07,1500.03,34.95,1.95,129.2,1위(우승)
1994,LG,1563.75,1500,33.22,1.92,128.79,,2002,삼성,1579.52,1500.99,50.51,1.55,123.32,1위(우승),,1994,LG,1563.75,1500,33.22,1.92,128.79,1위(우승)
1989,KIA,1570.2,1500,39.6,1.77,126.59,,2016,두산,1575.46,1499.81,43.63,1.73,126.01,1위(우승),,1989,해태,1570.2,1500,39.6,1.77,126.59,1위(우승)
1985,삼성,1581.02,1500,46.64,1.74,126.06,,1988,해태,1573.28,1500,45.81,1.6,123.99,1위(우승),,1985,삼성,1581.02,1500,46.64,1.74,126.06,1위(우승)
2016,두산,1575.46,1499.81,43.63,1.73,126.01,,1993,삼성,1573.21,1500,59.85,1.22,118.35,2위(준우승),,2016,두산,1575.46,1499.81,43.63,1.73,126.01,1위(우승)
1998,삼청태현,1559.63,1500,34.42,1.73,125.99,,1982,삼성,1572.56,1500,71.98,1.01,115.12,2위(준우승),,1998,현대,1559.63,1500,34.42,1.73,125.99,1위(우승)
1991,KIA,1584.36,1500,50.33,1.68,125.14,,1989,해태,1570.2,1500,39.6,1.77,126.59,1위(우승),,1991,해태,1584.36,1500,50.33,1.68,125.14,1위(우승)
2023,LG,1559.71,1500,35.78,1.67,125.04,,,,,,,,,,,,,,,,,,
1988,KIA,1573.28,1500,45.81,1.6,123.99,,2022,한화,1414.22,1500,44.33,-1.94,70.97,,,2014,한화,1396.02,1498.65,56.16,-1.83,72.59,
2015,NC,1565.85,1499.52,41.55,1.6,123.95,,2020,한화,1412.54,1500,43.86,-1.99,70.09,,,2013,한화,1424.79,1500.01,40.41,-1.86,72.08,
2009,SSG,1579.99,1500.54,50,1.59,123.84,,1990,OB,1412.33,1500,57.17,-1.53,77,,,1992,쌍방울,1419.54,1500,42.9,-1.88,71.87,
2008,SSG,1567.52,1501.35,41.64,1.59,123.84,,2016,KT,1410.11,1499.81,43.63,-2.06,69.16,,,2021,한화,1446.24,1500,28.56,-1.88,71.76,
2025,LG,1553.27,1500,34.01,1.57,123.49,,2003,롯데,1408.69,1500.4,51.12,-1.79,73.09,,,2002,롯데,1403.79,1500.99,50.51,-1.92,71.14,
1987,삼성,1549.91,1500,31.98,1.56,123.41,,1993,태평양,1405.14,1500,59.85,-1.58,76.23,,,2022,한화,1414.22,1500,44.33,-1.94,70.97,
2002,삼성,1579.52,1500.99,50.51,1.55,123.32,,2002,롯데,1403.79,1500.99,50.51,-1.92,71.14,,,2020,한화,1412.54,1500,43.86,-1.99,70.09,
2024,KIA,1542.78,1500,28.21,1.52,122.75,,2014,한화,1396.02,1498.65,56.16,-1.83,72.59,,,2016,KT,1410.11,1499.81,43.63,-2.06,69.16,
2007,SSG,1548.27,1500.01,31.95,1.51,122.66,,1999,쌍방울,1376.26,1500,57.36,-2.16,67.64,,,2025,키움,1429.51,1500,34.01,-2.07,68.91,
2015,삼성,1562.11,1499.52,41.55,1.51,122.6,,1982,삼미,1374.9,1500,71.98,-1.74,73.93,,,1999,쌍방울,1376.26,1500,57.36,-2.16,67.64,
1983,LG,1544.17,1500,29.46,1.5,122.49,,,,,,,,,,,,,,,,,,
2017,두산,1569.65,1499.92,46.58,1.5,122.45,,Season,Team,Final_Elo,시즌 순위,,Season,Team,Scaled_Score,시즌 순위,,,,,,,,
2022,LG,1565.07,1500,44.33,1.47,122.02,,2000,현대,1602.1,1위(우승),,2018,두산,130.46,1위(준우승),,,,,,,,
1992,한화,1562.68,1500,42.9,1.46,121.92,,1991,해태,1584.36,1위(우승),,2000,현대,129.62,1위(우승),,,,,,,,
2005,SSG,1560.65,1500.06,43.28,1.4,121,,1985,삼성,1581.02,1위(우승),,2001,삼성,129.42,2위(준우승),,,,,,,,
2011,롯데,1557.91,1500.09,41.44,1.4,120.93,,2009,SK,1579.99,2위(준우승),,2012,삼성,129.2,1위(우승),,,,,,,,
2019,두산,1565.68,1499.99,47.61,1.38,120.7,,2002,삼성,1579.52,1위(우승),,1994,LG,128.79,1위(우승),,,,,,,,
2003,KIA,1569.14,1500.4,51.12,1.34,120.17,,2016,두산,1575.46,1위(우승),,1989,해태,126.59,1위(우승),,,,,,,,
1984,두산,1537.81,1500,29.34,1.29,119.33,,1988,해태,1573.28,1위(우승),,1985,삼성,126.06,1위(우승),,,,,,,,
2019,키움,1560.6,1499.99,47.61,1.27,119.1,,1993,삼성,1573.21,2위(준우승),,2016,두산,126.01,1위(우승),,,,,,,,
1996,KIA,1547.02,1500,36.99,1.27,119.07,,1982,삼성,1572.56,2위(준우승),,1998,현대,125.99,1위(우승),,,,,,,,
2011,삼성,1552.75,1500.09,41.44,1.27,119.06,,1989,해태,1570.2,1위(우승),,1991,해태,125.14,1위(우승),,,,,,,,
2007,두산,1540.04,1500.01,31.95,1.25,118.79,,,,,,,,,,,,,,,,,,
1996,쌍방울,1545.37,1500,36.99,1.23,118.4,,,,,,,,,,,,,,,,,,
1993,삼성,1573.21,1500,59.85,1.22,118.35,,,,,,,,,,,,,,,,,,
2005,두산,1552.61,1500.06,43.28,1.21,118.21,,,,,,,,,,,,,,,,,,
2009,KIA,1560.75,1500.54,50,1.2,118.06,,,,,,,,,,,,,,,,,,
2017,KIA,1554.61,1499.92,46.58,1.17,117.61,,,,,,,,,,,,,,,,,,
2004,삼성,1544.05,1500.16,37.65,1.17,117.49,,,,,,,,,,,,,,,,,,
1991,한화,1558.47,1500,50.33,1.16,117.43,,,,,,,,,,,,,,,,,,
2010,SSG,1551.85,1500.22,45.24,1.14,117.12,,,,,,,,,,,,,,,,,,
